Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"CirclesRandomSize",0.105826866075024,0.10477597896717489,0.10712831918857992,5.978654059349376e-3,4.97726649685157e-3,7.529358899683257e-3
"CirclesUniformSize",9.58317250456661e-2,9.420434658192098e-2,9.946549837253987e-2,1.1832994927753885e-2,6.0250426642391485e-3,2.292062236798461e-2
"FillText",0.14600851957462727,0.14406721298359332,0.14907219354771076,1.2313106419308315e-2,8.905844663752235e-3,1.9465328542115717e-2
"ImageMark",8.066750232838095e-2,7.807023470066488e-2,8.342828457020224e-2,1.3685116546211979e-2,1.2021179348587777e-2,1.573848426754123e-2
"StaticAsteroids",0.24635114376209674,0.24466395322941242,0.24846917097233234,9.659659165785105e-3,7.7924633934331675e-3,1.2547865307754723e-2
"Rave",4.647057001255453e-2,4.583596174381674e-2,4.773061697147787e-2,4.4328655226315095e-3,2.749510250483922e-3,8.474518755115273e-3
"IsPointInPath",3.390697424076498e-2,3.247189228199423e-2,3.568697874210775e-2,8.162507636741473e-3,6.874742157087707e-3,1.0319410112279468e-2
"MeasureText",0.24766590063236651,0.23790727798603473,0.25954493467472495,5.498949323615567e-2,4.7322323303475355e-2,6.529154010218756e-2
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
CirclesRandomSize,0.13026779300694036,0.11220377693095059,0.16900837929844512,3.7804189388302156e-2,1.0320761199004892e-2,5.4946698538101746e-2
CirclesUniformSize,9.821115362097012e-2,9.549779687639172e-2,0.10202469457841701,4.936735239989297e-3,2.694021952151105e-3,7.1813125577951855e-3
FillText,0.17216788463709154,0.1613791898982559,0.18481350548257433,1.6538504400328273e-2,1.2733733922732873e-2,1.9502085145197943e-2
ImageMark,0.6922272461687776,0.6861705306254442,0.6982114826514055,1.0302806557674635e-2,0.0,1.0365001632418751e-2
StaticAsteroids,0.15005339307984275,0.14780460761635164,0.15129577364437594,2.262665358304845e-3,1.1009095891108358e-3,3.3446862407878926e-3
Rave,4.988779934197738e-2,4.924082709950079e-2,5.1167065006179686e-2,1.6462007761743906e-3,7.976933249434581e-4,2.5569418958465238e-3
IsPointInPath,3.9186802629719124,3.8428826565595515,4.065805042617198,0.12743340136109674,5.438959822042073e-16,0.12870429959877555
MeasureText,2.361818744584462,2.3490927391138974,2.3710052557325496,1.390011543988998e-2,0.0,1.5911504052785536e-2
